al.;aleja;
cd.;ci¹g dalszy;
cdn.;ci¹g dalszy nast¹pi;
CV;curriculum vitae;
dr;doktor;
itd.;i tak dalej;
itp.;i tym podobne;
lek.;lekarz;
lic.;licencjat;
mgr;magister;
NIP;Numer Identyfikacji Podatkowej;
np.;na przyk³ad;
nr;numer;
PESEL;Powszechny Elektroniczny System Ewidencji Ludnoœci;
pl.;plac;
p³d.;po³udniowy;
p³n.;pó³nocny;
p.o.;pe³ni¹cy obowi¹zki;
RP;Rzeczpospolita Polska;
s.;strona;
S.A.;spó³ka akcyjna;
str.;strona;
œw.;œwiêty;
tj.;to jest;
tzn.;to znaczy;
tzw.;tak zwany;
ub.;ubieg³y;
UE;Unia Europejska;
ul.;ulica;
USA;United States of America;
wf;wychowanie fizyczne;
wsch.;wschodni;
zach.;zachodni;
zob.;zobacz;
