al.;aleja;
cd.;ciąg dalszy;
cdn.;ciąg dalszy nastąpi;
CV;curriculum vitae;
dr;doktor;
itd.;i tak dalej;
itp.;i tym podobne;
lek.;lekarz;
lic.;licencjat;
mgr;magister;
NIP;Numer Identyfikacji Podatkowej;
np.;na przykład;
nr;numer;
PESEL;Powszechny Elektroniczny System Ewidencji Ludności;
pl.;plac;
płd.;południowy;
płn.;północny;
p.o.;pełniący obowiązki;
RP;Rzeczpospolita Polska;
s.;strona;
S.A.;spółka akcyjna;
str.;strona;
św.;święty;
tj.;to jest;
tzn.;to znaczy;
tzw.;tak zwany;
ub.;ubiegły;
UE;Unia Europejska;
ul.;ulica;
USA;United States of America;
wf;wychowanie fizyczne;
wsch.;wschodni;
zach.;zachodni;
zob.;zobacz;
